city,SiliconValley,Homonyme,area
Alameda,o,,
Alamo,o,,
Albany,o,Albany (Connecticut),
Antioch,o,,East bay
Aptos,o,,Santa Cruz
Atherton,o,,
Belmont,o,,
Belvedere Tiburon,o,,
Benicia,o,,East bay
Berkeley,o,,
Brentwood,o,,east bay
Brisbane,o,Australia,
Burlingame,o,,
Campbell,o,,
Capitola,o,,Santa cruz
Castro Valley,o,,east bay
Concord,o,,East bay
Corte Madera,o,,North
Cupertino,o,,
Daly City,o,,
Danville,o,,east bay
Dublin,o,Ireland,East bay
East Palo Alto,o,,
El Cerrito,o,,East bay
El Granada,o,,
El Sobrante,o,,East bay
Emeryville,o,,East bay
Fairfax,o,,North
Felton,o,,santa cruz
Foster City,o,,
Fremont,o,,EastBay
Gilroy,o,,Santa Cruz
Greenbrae,n,,
Half Moon Bay,o,,
Hayward,o,,East bay
Hercules,o,,East bay
Hollister,o,,South Bay
Kentfield,o,,North Valley
Lafayette,o,,East bay
La Honda,o,,
Larkspur,o,,North Valley
Livermore,o,,East bay
Los Altos,o,,
Los Altos Hills,o,,
Los Gatos,o,,
Martinez,o,,East bay
Menlo Park,o,,
Millbrae,o,,
Mill Valley,o,,North valley
Milpitas,o,,East Valley
Moraga,o,,East Valley
Morgan Hill,o,,South valley
Moss Beach,o,,
Mountain View,o,,
Newark,n,NJ,
Novato,o,,North Valley
Oakland,o,,
Oakley,o,,East bay
Orinda,o,,East bay
Pacifica,o,,
Palo Alto,o,,
Pescadero,o,,
Piedmont,o,Caroline/nord,East bay
Pittsburg,o,Penn,East bay
Pleasant Hill,o,,East bay
Pleasanton,o,,East bay
Portola Valley,o,,
Redwood City,o,,
Redwood Shores,o,,
Richmond,o,,
Ross,o,,North valley
San Anselmo,o,,North valley
San Bruno,o,,
San Carlos,o,,
San Francisco,o,,
San Geronimo,o,,North Valley
San Jose,o,,
San Juan Bautista,o,,South bay
San Leandro,o,,East bay
San Lorenzo,o,,East bay
San Mateo,o,,
San Pablo,o,,East bay
San Rafael,o,,North Bay
San Ramon,o,,East bay
Santa Clara,o,,
Santa Cruz,o,,South Valley
Saratoga,o,,
Sausalito,o,,North Valley
Scotts Valley,o,,South Valley
Soquel,o,,South Valley
South San Francisco,o,,
Stanford,o,,
Sunnyvale,o,,
Union City,o,NJ,East Bay
Vallejo,o,,East Bay
Walnut Creek,o,,
Watsonville,o,,South Valley
Woodacre,o,,North Valley
